question_id,question_title,question,question_link,topic,answer,therapist_info
0,Do I have too many issues for counseling,"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac. I have a long history of depression and I’m beginning to have anxiety. I have low self esteem but I’ve been happily married for almost 35 years. I’ve never had counseling about any of this. Do I have too many issues to address in counseling",https://counselchat.com/questions/do-i-have-too-many-issues-for-counseling,depression,"It is very common for people to have multiple issues that they want to (and need to) address in counseling. I have had clients ask that same question and through more exploration, there is often an underlying fear that they ""can't be helped"" or that they will ""be too much for their therapist."" I don't know if any of this rings true for you. But, most people have more than one problem in their lives and more often than not, people have numerous significant stressors in their lives. Let's face it, life can be complicated! Therapists are completely ready and equipped to handle all of the issues small or large that a client presents in session. Most therapists over the first couple of sessions will help you prioritize the issues you are facing so that you start addressing the issues that are causing you the most distress. You can never have too many issues to address in counseling. All of the issues you mention above can be successfully worked through in counseling",Jennifer MolinariHypnotherapist & Licensed Counselor
0,Do I have too many issues for counseling,"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac. I have a long history of depression and I’m beginning to have anxiety. I have low self esteem but I’ve been happily married for almost 35 years. I’ve never had counseling about any of this. Do I have too many issues to address in counseling",https://counselchat.com/questions/do-i-have-too-many-issues-for-counseling,depression,"I've never heard of someone having ""too many issues"" for therapy to be effective. A competent therapist will assist you in identifying the root causes of your problems and treat those first. If the underlying issues are addressed, your various symptoms should improve. For example, a history of sexual trauma can cause sleep disturbances, depression, anxiety, and low self-worth. I would start by addressing the underlying trauma using EMDR Therapy. EMDR allows the client to process unresolved trauma and to address negative core beliefs that develop in response to the trauma. By addressing these negative beliefs about ourselves, we can improve our self-esteem and feelings of self-worth","Jason Lynch, MS, LMHC, LCAC, ADSIndividual & Couples Therapy"
1,My apartment manager won't let me keep an emotional support dog,"I have been diagnosed with general anxiety and depression by my family doctor. They wrote a prescription for me to have an emotional support dog, I have the paper work, and I gave it to my apartment manager. They said I can't keep the ESD because I'm not disabled. What do you suggest I do",https://counselchat.com/questions/my-apartment-manager-won-t-let-me-keep-an-emotional-support-dog,depression,"This can be a difficult situation. Typically, only animals that are specifically trains to accomplish a specific task are legally protected as Service Animsls. Even though that can be very helpful, emotional support animals are not generally protected in the same way.You might not be able to make your landlord accommodate you. If possible, you may want to consider a different apparent that is more animal friendly","Eric Ström, JD, MA, LMHCAttorney & Licensed Mental Health Counselor"
1,My apartment manager won't let me keep an emotional support dog,"I have been diagnosed with general anxiety and depression by my family doctor. They wrote a prescription for me to have an emotional support dog, I have the paper work, and I gave it to my apartment manager. They said I can't keep the ESD because I'm not disabled. What do you suggest I do",https://counselchat.com/questions/my-apartment-manager-won-t-let-me-keep-an-emotional-support-dog,depression,"Your apartment manager is legally required under federal law to allow the ESA to live with you if you have provided documentation from a licensed therapist. It does not matter if they have a no-pet policy if you have met these qualifications.You do not need a trained service animal nor do you need a disability for an emotional support animal. The Fair Housing Act (which has federal jurisdiction) allows you to own an ESA if you have met the right criteria, and it sounds like you do. Perhaps your apartment manager needs a letter from a therapist instead of a doctor? Here's the site for more information on this and steps to take: https://esadoctors.com/landlord-emotional-support-animal/Maybe your doctor is credible and can help you continue to fight for yourself. In the above website, it mentions that if you provide the required documentation and your apartment manager continues to deny you, you can file a complaint with HUD (U.S. Department of Housing and Urban Development).I am repeating some of that article content here, but I believe many people in this situation feel pressured to share personal information about their symptoms and circumstances, beyond what is legally required for an ESA. You never have to share any information apart from the documents your therapist provides to you. I think it's amazing you are trying to stand up for yourself and I wish you all the best","Kaileen McMickle, MS, LPCLicensed Professional Counselor"
2,I feel like my mother doesn't support me,My mother is combative with me when I say I don't want to talk with her about my depression. She hasn't been supportive of me in the past and she isn't someone that I feel comfortable opening up to. She constantly tries to instigate conversations where she asks me questions that I don't want to or can't answer. I tell her I don't want to talk and she starts arguments with me. How can I get her to understand,https://counselchat.com/questions/i-feel-like-my-mother-doesn-t-support-me,depression,"Do you live with your mom and have constant interaction with her? It is your choice who you share things with. You can set some clear boundaries. She can either talk about the interest you feel comfortable or you can reduce, eliminate conversations with her. These arguments are most likely not good for your depression. Here is a video regarding boundaries. Boundaries",Dr. Meredyth LawrynceServing Clients Nationwide
2,I feel like my mother doesn't support me,My mother is combative with me when I say I don't want to talk with her about my depression. She hasn't been supportive of me in the past and she isn't someone that I feel comfortable opening up to. She constantly tries to instigate conversations where she asks me questions that I don't want to or can't answer. I tell her I don't want to talk and she starts arguments with me. How can I get her to understand,https://counselchat.com/questions/i-feel-like-my-mother-doesn-t-support-me,depression,"Your situation sounds extremely frustrating.You're doing the right move to state you don't want to discuss your depression with her.I guess you could ask if she would like to know your reason to not speak w her about your depression. If you feel she can handle a reasonable conversation, and you would like to tell her your true reason, then schedule this or bring up the topic at a neutral time, not in the middle of an argument.Having an unsupportive mom is difficult enough to accept. You may feel greater success and peach of mind to meditate on accepting her lack of understanding than to engage in arguing when she starts this","Sherry Katz, LCSWCouples and Family Therapist, LCSW"
3,Why do I feel like I don't belong anywhere,"There are many people willing to lovingly provide me with a home. I have food, clothes, and a university education, but I never feel like I belong. Even when I have a good time with people who are supposed to be close, I feel like I'm just out with friends and I never go home",https://counselchat.com/questions/why-do-i-feel-like-i-don-t-belong-anywhere,depression,I truly understand what you are saying. I wanted to share this blog post about this very concern! ⛓🔗Are you finally ready to be free,Dr. Meredyth LawrynceServing Clients Nationwide
3,Why do I feel like I don't belong anywhere,"There are many people willing to lovingly provide me with a home. I have food, clothes, and a university education, but I never feel like I belong. Even when I have a good time with people who are supposed to be close, I feel like I'm just out with friends and I never go home",https://counselchat.com/questions/why-do-i-feel-like-i-don-t-belong-anywhere,depression,"From the little bit you wrote, my guess is you haven't figured out where and how to lay down your own set of roots.Usually people who have a university level eduction are old enough to work in order to support themselves.Unless you have a medical condition which limits or prevents you from working a full-time job, would you guess that the effort and thought involved in deciding in what professional area and geographic location to look for work, would offer you a way to establish your identity?My suggestion is to pay more attention to your own likes, dislikes, and interests. To know these areas more deeply would define the type of people with whom you identify, have a common interest and with whom you'd like to socialize.The more you realize who you are, the easier time you'll have to find like-minded others and feel securely at home with them and yourself.Again, if you have a medical disability or condition which prevents employment or easily socializing with other people, then this advice would need to be modified for your specific strengths","Sherry Katz, LCSWCouples and Family Therapist, LCSW"
4,How can I help my girlfriend,My girlfriend just quit drinking and she became really depressed. She told me that she wants to move. What can I do to help her? I want her to stay,https://counselchat.com/questions/how-can-i-help-my-girlfriend,depression,"You're probably not going to like my answer.Your question says a lot about what YOU want rather than what she wants or what may be best for her. Sometimes, what's best for a person is the hardest thing to do, and may be completely opposite of what YOU want.Addictions don't happen in a vacuum. If you've had any experience with addicts at all, then I'm sure you've heard the term ""enabler"". A lot of the times, when people think they're ""helping"", they're actually enabling the addict to continue their self-destructive behavior. Tough love and clear boundaries are needed in a lot of situations, but especially with addictions. Family and friends are often the biggest contributing factor to someone choosing to use/drink, continuing to do so, or relapsing back into it.You said she recently quit. You said she is depressed. She wants to move. When a person receives counseling for addictions, they are encouraged to make changes like this. They need to break the habit, and this means removing people from their lives at times. It means moving to new locations. Anything that may trigger a relapse needs to be identified and removed. Not only that, but the addict needs to do a lot of personal reflection to figure out WHY they use/drink in the first place, and not only break the physical addiction to it, but deal with whatever is the root cause that led them to use in the first place. She may need some time alone to figure out who she is as a person, time to make some decisions for herself and do what she needs to do to be healthy.Don't pressure her to stay. Let her have the freedom to do what she needs to do. If she stays, the decision needs to be hers and hers alone. It doesn't need to be made under pressure. That will only lead to resentment. Support her, but don't try to change her or make her do anything, especially for selfish reasons. Let her go. It sounds like she needs some time to focus on herself right now. It wouldn't be a bad idea for you to do the same","Kristi King-Morgan, LMSWSocial Worker, Psychotherapist"
4,How can I help my girlfriend,My girlfriend just quit drinking and she became really depressed. She told me that she wants to move. What can I do to help her? I want her to stay,https://counselchat.com/questions/how-can-i-help-my-girlfriend,depression,"Changing scenery often helps in recovery. Could you move with her? Moving could help her depression also. Is she also open to therapy? Being supportive is one way to help her, and allowing her the space and ways to heal that suits her best",Dr. Meredyth LawrynceServing Clients Nationwide
