question_id,question_title,question,answer_llm,true_ans_llm_ans_relevance,true_ans_llm_ans_relevance,quest_llm_ans_relevance
0,Do I have too many issues for counseling,"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac. I have a long history of depression and I’m beginning to have anxiety. I have low self esteem but I’ve been happily married for almost 35 years. I’ve never had counseling about any of this. Do I have too many issues to address in counseling","Absolutely not! Many people have multiple issues that they want and need to address in therapy.  Your therapist will help you prioritize and work through your concerns, addressing underlying issues to improve overall well-being. Therapy can be incredibly powerful for complex situations like yours.  Don't hesitate to seek professional support. 
",RELEVANT,RELEVANT,RELEVANT
1,My apartment manager won't let me keep an emotional support dog,"I have been diagnosed with general anxiety and depression by my family doctor. They wrote a prescription for me to have an emotional support dog, I have the paper work, and I gave it to my apartment manager. They said I can't keep the ESD because I'm not disabled. What do you suggest I do","Your doctor wrote a prescription for an Emotional Support Dog (ESD), but your apartment manager won't let you keep it because you're not disabled.  You need legal support, as federal law requires landlords to allow ESAs if they meet specific criteria. Consider consulting with an attorney specializing in housing discrimination or reaching out to HUD for guidance on filing a complaint against your landlord. 
",PARTLY_RELEVANT,PARTLY_RELEVANT,RELEVANT
2,I feel like my mother doesn't support me,My mother is combative with me when I say I don't want to talk with her about my depression. She hasn't been supportive of me in the past and she isn't someone that I feel comfortable opening up to. She constantly tries to instigate conversations where she asks me questions that I don't want to or can't answer. I tell her I don't want to talk and she starts arguments with me. How can I get her to understand,"This response is incredibly helpful and provides some great guidance. It touches on several important points:

**Strengths of the responses:**

* **Acknowledging Difficulty:** The responses directly address the difficult situation of needing help with mental health but facing challenging family dynamics. 
* **Empowering Self-Advocacy:**  They emphasize the importance of self-advocacy and taking steps to communicate needs, even if those conversations are daunting. 
* **Building Support System:**  The emphasis on building support from trusted adults (other parents, siblings, mentors) is crucial for navigating this challenge. 
* **Addressing Potential Concerns:** The responses acknowledge that parents might not respond in the way we hope and offer strategies to navigate these possibilities.
* **Recognizing Progress:** Acknowledging progress made, even small steps, is important for maintaining motivation.  

**Suggestions for further support:**

* **Resources:** Providing links or lists of resources related to mental health (e.g., helplines, online therapy options) would be invaluable for the user. 
* **Building Coping Skills:** Suggesting activities that help manage anxiety and build resilience could be helpful for the user's emotional well-being (e.g., mindfulness techniques, journaling).
* **Therapy Options:** If the user is seeking professional support, suggesting therapy options (for themselves or their parents) would be beneficial. 

**Overall:** This response provides a valuable foundation and direction for navigating challenging family dynamics and managing mental health struggles.  It's reassuring to see such thoughtful responses that prioritize self-care, support networks, and building coping strategies.  
",PARTLY_RELEVANT,PARTLY_RELEVANT,PARTLY_RELEVANT
3,Why do I feel like I don't belong anywhere,"There are many people willing to lovingly provide me with a home. I have food, clothes, and a university education, but I never feel like I belong. Even when I have a good time with people who are supposed to be close, I feel like I'm just out with friends and I never go home","You feel disconnected despite having material comforts and close relationships because you haven't defined a sense of belonging.  Focusing on discovering what makes you happy and safe can help you connect with yourself and others who share those values. Seek out activities and environments that resonate with your interests to build a life that feels meaningful and fulfilling. Remember, it's okay to take time for self-discovery.  If these feelings persist, consider seeking professional guidance from a therapist. 
",RELEVANT,RELEVANT,RELEVANT
4,How can I help my girlfriend,My girlfriend just quit drinking and she became really depressed. She told me that she wants to move. What can I do to help her? I want her to stay,"Your girlfriend is experiencing depression and wants to move, likely as part of her recovery from quitting alcohol.  It's crucial to support her decision-making process by understanding her feelings and desires.  Encourage her to explore the reasons behind her desire to move, perhaps through therapy or reflection time.  Offer your unwavering love and support while respecting her independence. Remember, her well-being is paramount, and ultimately she needs to navigate this journey at her own pace. 
",PARTLY_RELEVANT,PARTLY_RELEVANT,RELEVANT
5,Can i learn to be happy alone,I'm dealing with an illness that will never go away and I feel like my life will never change for the better. I feel alone and that i have no one. How can I overcome this pain and learn to be happy alone,"You're feeling overwhelmed with chronic illness and loneliness, which are incredibly difficult emotions.  Finding meaning in your life is key. Start by exploring activities that bring you joy and help you practice self-care, even if it's just for a few minutes each day. Remember that seeking support from others can be beneficial as well as finding healthy ways to cope with stress. 
",PARTLY_RELEVANT,PARTLY_RELEVANT,PARTLY_RELEVANT
6,How can I deal with my posttraumatic stress disorder,"I feel angry, anxious, and depressed. The PTSD I suffer is from a past relationship","You're struggling with depression likely stemming from your PTSD related to a past relationship.  It sounds like your feelings of anger, anxiety, and depression are severe enough to affect your daily life. Therapy is recommended as it helps manage these symptoms. Consider seeking help from a trained therapist who specializes in treating PTSD. There are resources available such as Psychology Today or Therapy Den that can guide you to the right specialist. 
",RELEVANT,RELEVANT,RELEVANT
7,How do I know if I have depression,"I had a very troubled up bringing and I'm currently dealing with alot right now. I know some people may not think so, but to me its a lot. I feel overwhelmed. Could this be depression? I use to be in therapy as a child. Alll throughout elementry, middle, and high school I had counseling 2-3 times a week. I haven't be in counseling lately though","You have many significant issues, but it's crucial to seek support. Therapy can address these challenges. Prioritizing one issue at a time allows for more focused progress. Your strength in navigating life's complexities is noteworthy.  Don't hesitate to reach out to a therapist for guidance. 
",PARTLY_RELEVANT,PARTLY_RELEVANT,PARTLY_RELEVANT
8,How do I make new friends,"In the past year, two of my best and only close friends moved to different states. Now I have nobody to hang out with. I'm always alone, and I honestly haven't hung out with anyone since they left. I'm super lonely. What should I do to make new friends? Because they moved and I have no friends now, I think I'm falling into a depression or something. I just need help","You're feeling lonely and isolated because two close friends moved away, which is causing a significant decline in your social life.  It's important to reconnect with people who are supportive and genuine. Consider joining groups or clubs where you share common interests to meet new people. Remember that it takes time to form meaningful connections. 
",PARTLY_RELEVANT,PARTLY_RELEVANT,RELEVANT
10,How do I stop feeling empty,"I don't know how else to explain it. All I can say is that I feel empty, I feel nothing. How do I stop feeling this way","You're feeling empty and numb, which is a common symptom of depression.  It could be a result of losing interest in things you enjoyed or a lack of awareness about the good things in your life.  To address this, try identifying what brings you joy and reconnect with those activities.  Don't hesitate to seek professional help if these feelings persist. 
",PARTLY_RELEVANT,PARTLY_RELEVANT,RELEVANT
12,How can I get my husband to listen to my needs and talk to me,"I tried telling my husband I was depressed, and he ignored me. He said ""you're always sad or depressed."" And he picked up his phone and ignored me. I said, ""Please don't exaggerate, that isn't true."" And he said, ""Whatever babe. You just want to be sad."" How can I get through to him so he will take me seriously","Your husband's dismissive attitude indicates he might not understand or acknowledge your depression.  Focus on communicating clearly and assertively your needs while setting boundaries. If needed, seek professional support for yourself (therapy, medication) and explore couples counseling if you feel it could benefit your communication. Remember you deserve to be heard and supported. 
",PARTLY_RELEVANT,PARTLY_RELEVANT,RELEVANT
13,How can I best fight the winter blues,Every winter I find myself getting sad because of the weather. How can I fight this,"Your question relates to Seasonal Affective Disorder (SAD), which can cause feelings of sadness during the fall and winter months.  

Here are some potential solutions: 

* **Light Therapy:** Using a light therapy box for 30 minutes each morning can help mimic sunlight and boost your mood.
* **Therapy:**  A therapist can help you develop coping strategies to manage your symptoms.
* **Social Connection:** Spending time with friends and engaging in enjoyable activities can increase serotonin levels.


 Remember, you are not alone, and seeking professional help is a positive step towards feeling better. 
",RELEVANT,RELEVANT,RELEVANT
